name;calories;fat;carbohydrate;protein
Cebollino, crudo;24.55;0.525;3.0;1.9
Cecina;242.47;9.5;39.0;0.0
Centeno, crudo;406.48;2.5;14.8;79.8
Centollo, crudo;127.65;5.2;20.1;0.0
Cerdo, chuleta, crudo;209.85;15.0;19.0;0.0
Cerdo, costilla, crudo;278.18;23.6;17.1;0.0
Cerdo, lomo, asado;235.9;14.2707;27.0;0.0
Cerdo, lomo, crudo;151.84;8.9;18.0;0.0
Cerdo, panceta, cruda;464.91;46.6;12.5;0.5
Cerdo, parte sin especificar;270.84;23.0;16.6;0.0
Cerdo, pierna, cruda, con grasa separable;211.62;15.2;19.0;0.0
Cerdo, solomillo, asado;158.59;4.70094;28.8;0.0
Cerdo, solomillo, crudo;130.43;5.1;21.0;0.0
Cereales base trigo y chocolate;383.72;2.5;8.0;81.0
Cereales desayuno base de arroz chocolateado;385.97;1.1;6.0;86.6
Cereales desayuno base de arroz y miel;383.05;1.0;5.1;87.0
Cereales desayuno base de arroz, trigo y fruta;354.25;2.2;5.8;76.6
Cereales desayuno base de maíz y miel;392.57;3.5;6.0;83.0
Cereales desayuno base de maíz y trigo;379.21;3.0;6.0;80.8
Cereales desayuno base de maíz, trigo y avena;414.03;6.8;6.2;80.9
Cereales desayuno base de trigo azucarado;383.01;1.5;7.0;84.0
Cereales desayuno base de trigo y arroz;378.59;1.0;16.0;75.0
Cereales desayuno base de trigo y frutas;365.2;5.0;8.0;71.0
Cereales desayuno base de trigo y miel;394.86;1.6;5.7;88.0
Cereales desayuno base de trigo, avena, maiz y miel;396.82;4.9;8.0;79.0
Cereales desayuno base de trigo, avena, maíz, miel y nueces;390.97;2.4;11.0;80.0
Cereales desayuno base muesli;370.22;6.9;10.3;65.8
Cereales desayuno, maíz azucarado;380.26;0.5;4.5;88.0
Cereales para el desayuno, ricos en fibra, tipo "all-bran";266.04;2.7;14.0;45.6
Cereales, en polvo, solubles (eko);391.33;0.42;5.7;89.7
Cereza;62.52;0.5;0.8;13.5
Cerveza con alcohol;42.16;0.0;0.5;3.12
Cerveza sin alcohol;25.75;0.0;0.375;5.4
Cerveza, baja en alcohol;33.6;0.0;0.2;2.1
Cerveza, oscura, 8°- 9°;66.42;0.0;0.6;5.25714
Champiñon;26.22;0.3;1.8;4.0
Champiñones en conserva;13.85;0.5;2.25;0.07
Chayote, crudo;22.81;0.13;0.82;4.51
Chicle, sin azúcar;2.65;0.3;0.0;0.0
Chile, rojo;33.6;0.4;1.0;6.4
Chile, verde;16.47;0.3;0.8;2.6
Chipiron;81.25;1.4;16.25;0.7
Chirimoya;87.09;0.2;1.0;20.0
Chirla;11.23;0.5;10.7;0.0
Chistorra;512.4;50.5;15.3;0.9
Chocolate blanco;544.67;30.9;8.0;58.8
Chocolate con leche;535.71;31.5;9.19;54.1
Chocolate con leche y almendras;546.8;35.0;8.6;49.8
Chocolate con leche y arroz;514.56;26.3;6.4;63.0
Chocolate con nueces de macadamia;587.48;41.3;7.1;47.6
Chocolate negro, con almendras;532.67;37.4;8.2;41.5
Chocolate negro, con azúcar;529.4;30.0;2.0;63.0
Chocolate, negro;540.61;29.2;4.7;64.8
Choped pork;307.84;27.0;14.0;3.0
Chorizo;321.7;23.1;27.0;1.9
Chufa, cruda;407.69;23.74;6.13;42.5402
Churro;358.08;20.0;4.6;40.0
Ciervo, parte s/e, crudo, con grasa separable;104.35;1.6;22.2;0.0
Cigala;86.33;1.4;17.7;0.5
Ciruela, con piel, cruda;53.57;0.2;0.75;12.0
Ciruela, sin piel;47.13;0.0;0.6;11.0
Coco, desecado;586.04;58.0;6.2;11.8
Coco, fresco;371.41;33.5;3.3;15.2
Col blanca, cruda;35.75;0.9;4.3;2.54
Col de bruselas, cruda;34.89;0.5;4.0;3.5
Col lombarda, hervida;17.89;0.3;1.0;2.75
Col rizada, cruda;33.65;1.6;3.4;1.4
Coliflor, congelada, cruda;18.21;0.175;2.0;2.1
Coliflor, hervida;27.2;0.87;2.76;2.04
Comino;417.73;18.2;17.8;45.4
Complejo vitaminico;564.35;45.93;20.15;18.78
Coñac;232.19;0.0;0.0;0.0
Conejo de granja, carne, cruda;130.98;5.3;20.7;0.0
Conejo, entero, estofado;194.56;8.67725;29.0;0.0
Confitura, frutas s/e, baja en calorías;225.5;0.0;0.5;55.0
Congrio;101.96;2.8;19.0;0.0
Corazón de cordero, crudo;118.3;5.7;16.5;0.21
Corazón de pollo, crudo;148.51;9.3;15.6;0.71
